MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four,x,y
Manchester 018,E02001062,16.66666667,23.07692308,30.12048193,44.57831325,3570,1368,1210,732,244,16,385481.7887,396662.0324
Manchester 019,E02001063,12.5,25,23.91304348,39.13043478,3464,1650,1117,509,176,12,383833.3449,396449.7333
Manchester 020,E02001064,15.05376344,24.7311828,30.39215686,45.09803922,3912,1315,1313,895,374,15,387249.9184,396292.9268
Manchester 021,E02001065,12.34567901,25.92592593,31.70731707,47.56097561,3844,1412,1405,777,240,10,389351.081,396400.2563
Manchester 022,E02001066,12.5,21.875,31.14754098,44.26229508,3449,1196,1311,722,208,12,386096.1306,395662.8298
Manchester 023,E02001067,15.78947368,30.70175439,33.91304348,47.82608696,4121,1414,1429,916,340,22,388406.5765,395507.1893
Manchester 024,E02001068,12.74509804,21.56862745,27.64227642,40.6504065,4122,1360,1486,943,316,17,383870.4411,395394.7395
Manchester 025,E02001069,11.65048544,23.30097087,27.90697674,41.86046512,4303,1614,1571,840,264,14,384720.7124,395197.7467
Manchester 026,E02001070,14.58333333,25,25.45454545,41.81818182,3142,1188,1129,592,213,20,385888.8428,395023.2475
Manchester 027,,13.37579618,23.56687898,28.32369942,43.93063584,,,,,,,,
Manchester 028,E02001072,7.547169811,16.98113208,23.07692308,38.46153846,3900,1842,1252,605,190,11,382730.801,394914.0338
Manchester 029,E02001073,3.846153846,11.53846154,15.38461538,28.84615385,3984,2257,1179,420,118,10,381576.7593,394341.9087
Manchester 030,E02001074,9.589041096,21.91780822,26.04166667,40.625,4226,1720,1374,818,304,10,383948.1875,394346.7842
Manchester 031,E02001075,12.12121212,27.27272727,26.38888889,38.88888889,3450,1417,1175,637,200,21,387566.6261,394127.5746
Manchester 032,E02001076,11.11111111,22.22222222,25.80645161,41.93548387,2796,1137,1050,500,102,7,385638.1313,394025.4864
Manchester 033,E02001077,4.761904762,16.66666667,20.93023256,34.88372093,3043,1690,933,358,59,3,382166.9765,393660.6006
Manchester 034,E02001078,8.219178082,20.54794521,28.57142857,41.66666667,3799,1625,1357,639,166,12,386956.4026,393424.4257
Manchester 035,E02001079,12.24489796,20.40816327,31.50684932,47.94520548,3443,1380,1159,649,243,12,384338.6061,393430.7033
Manchester 036,E02001080,8.823529412,23.52941176,20,36.66666667,3423,1559,1149,543,152,20,385806.4462,393362.1726
Manchester 037,E02001081,4.761904762,21.42857143,15,27.5,2798,1647,763,297,87,4,381521.1741,393318.8222
Manchester 038,E02001082,7.407407407,18.51851852,20,40,2899,1648,859,306,82,4,384484.7201,392626.8246
Manchester 039,E02001083,6.25,18.75,21.42857143,32.14285714,4076,2628,962,369,111,6,383750.6613,392334.615
Manchester 040,E02001084,8.695652174,17.39130435,20.93023256,34.88372093,3331,1703,1022,473,127,6,385323.3349,392396.63
Manchester 041,E02001085,11.53846154,20.51282051,30.23255814,45.34883721,3202,1130,1100,709,253,10,386368.0979,392247.7845
Manchester 042,E02001086,7.5,20,28.57142857,38.0952381,2952,1567,856,394,123,12,382841.8192,391831.5655
Manchester 043,E02001087,5.454545455,12.72727273,13.15789474,23.68421053,4334,2677,1189,369,90,9,384694.892,391245.3592
Manchester 044,E02001088,11.68831169,25.97402597,28.04878049,41.46341463,3784,1561,1302,658,252,11,381188.0257,390496.2231
Manchester 045,E02001089,6.12244898,14.28571429,13.95348837,30.23255814,3203,1910,932,293,64,4,385268.9097,390322.1458
Manchester 046,E02001090,5.555555556,19.44444444,22.85714286,37.14285714,3138,1540,969,463,153,13,382955.7692,389953.6702
Manchester 047,E02001091,6.896551724,18.96551724,26.92307692,42.30769231,3885,1724,1306,615,226,14,379878.054,389680.4814
Manchester 048,E02001092,13.04347826,28.98550725,29.33333333,44,3856,1569,1305,700,267,15,381304.001,388958.3503
Manchester 049,E02001093,10.86956522,28.26086957,28.40909091,43.18181818,3919,1482,1293,823,312,9,382984.929,388287.916
Manchester 050,E02001094,15.30612245,27.55102041,30.43478261,45.65217391,3943,1250,1335,967,377,14,382409.9427,387665.0199
Manchester 051,E02001095,12,29.33333333,28.35820896,41.79104478,3741,1305,1273,828,322,13,381251.5531,387389.517
Manchester 052,E02001096,13.7254902,27.45098039,24.56140351,38.59649123,3425,1330,1142,697,250,6,383489.9339,386784.1516
Manchester 053,E02001097,12.85714286,27.14285714,28.33333333,46.66666667,3527,1262,1209,764,282,10,382392.996,386302.128
Manchester 054,E02006902,17.64705882,23.52941176,23.07692308,38.46153846,4357,2521,1262,416,151,7,384532.4345,398914.2451
Manchester 055,E02006912,,,,,5027,3279,1327,364,56,1,384705.9834,398147.3324
Manchester 056,E02006913,15.55555556,28.88888889,32,48,3186,1515,992,477,194,8,384435.0533,400505.6858
Manchester 057,E02006914,,21.42857143,,,2212,1345,622,177,63,5,383953.3053,397185.1359
Manchester 058,E02006915,14.47368421,26.31578947,30.85106383,43.61702128,3037,1108,1072,611,228,18,383790.3319,400591.701
Manchester 059,E02006916,8.333333333,16.66666667,23.52941176,41.17647059,3802,2163,1071,388,174,6,382765.678,397166.4768
Manchester 060,E02006917,,,,,3817,2783,887,135,11,1,383362.1668,397478.813
Oldham 001,E02001098,5.128205128,20.51282051,20,37.14285714,2730,1185,1037,423,82,3,392990.4291,409699.1891
Oldham 002,E02001099,10,30,24.24242424,36.36363636,2651,1095,955,455,139,7,394099.3158,409572.631
Oldham 003,E02001100,10.25641026,23.07692308,25.80645161,35.48387097,2589,1219,911,365,90,4,393928.1767,408932.0616
Oldham 004,E02001101,6.451612903,16.12903226,21.21212121,33.33333333,2451,1291,790,306,62,2,391382.6076,408674.0729
Oldham 005,E02001102,10.52631579,21.05263158,20,35.55555556,2528,1294,825,342,64,3,392887.3817,408034.8489
Oldham 006,E02001103,,16.66666667,,17.64705882,2429,1340,774,268,47,0,399544.459,407871.9202
Oldham 007,E02001104,10.25641026,23.07692308,30.76923077,43.58974359,2843,1421,934,375,110,3,395109.1396,407612.4757
Oldham 008,E02001105,6.896551724,13.79310345,23.33333333,36.66666667,2675,1191,931,439,112,2,391420.5314,407332.4194
Oldham 009,E02001106,8.571428571,22.85714286,29.03225806,41.93548387,2742,1202,965,448,123,4,392375.4183,407131.4317
Oldham 010,E02001107,7.142857143,19.04761905,23.40425532,44.68085106,2559,1115,916,399,123,6,390626.1354,406283.3074
Oldham 011,E02001108,10.63829787,21.27659574,31.57894737,42.10526316,2355,876,818,487,167,7,393940.1016,406182.1696
Oldham 012,E02001109,10.52631579,26.31578947,28.57142857,42.85714286,3363,1278,1127,688,264,6,394688.0054,405881.6074
Oldham 013,E02001110,,16,10.71428571,25,2859,1753,848,227,30,1,398245.5002,406003.5739
Oldham 014,E02001111,13.20754717,24.52830189,30.15873016,44.44444444,3436,793,1267,912,429,35,392605.8888,405693.3802
Oldham 015,E02001112,,20,21.875,31.25,2451,1344,830,247,30,0,389339.1543,405615.172
Oldham 016,E02001113,13.69863014,21.91780822,33.76623377,48.05194805,2512,624,922,678,267,21,391618.3539,405540.2907
Oldham 017,E02001114,13.04347826,28.26086957,25.86206897,43.10344828,3495,1341,1211,700,234,9,390499.3571,405264.9568
Oldham 018,E02001115,8.695652174,21.73913043,17.24137931,27.5862069,2605,1260,885,342,116,2,395623.3113,405079.5708
Oldham 019,E02001116,9.433962264,16.98113208,28.57142857,42.85714286,2387,795,906,505,171,10,394336.0938,404894.9873
Oldham 020,E02001117,8.695652174,17.39130435,12,28,2623,1489,801,276,52,5,399730.551,404639.808
Oldham 021,E02001118,8.333333333,16.66666667,18.18181818,31.81818182,2627,1384,858,331,54,0,396448.5855,404576.325
Oldham 022,E02001119,12.85714286,22.85714286,27.27272727,41.41414141,2870,641,1007,801,391,30,393608.5169,404394.6985
Oldham 024,E02001121,13.43283582,23.88059701,26.92307692,39.74358974,2465,619,872,687,271,16,392578.1327,403839.9397
Oldham 026,E02001123,15.68627451,27.45098039,23.63636364,41.81818182,2788,993,985,571,230,9,394671.9921,403678.8876
Oldham 027,E02001124,12.12121212,24.24242424,30.23255814,44.18604651,2807,944,958,649,236,20,390749.4317,403444.0817
Oldham 028,E02001125,12.82051282,28.20512821,22.85714286,40,3341,1494,1184,504,153,6,389777.6589,403427.8789
Oldham 029,E02001126,11.42857143,28.57142857,25.67567568,43.24324324,3363,1053,1216,750,323,21,392926.575,403046.0032
Oldham 030,E02001127,11.76470588,23.52941176,25,38.46153846,2942,991,1024,678,239,10,391682.2955,402428.4974
Oldham 031,E02001128,8.823529412,29.41176471,23.68421053,36.84210526,3283,1331,1178,610,152,12,390552.7188,402061.5239
Oldham 032,E02001129,17.24137931,24.13793103,30,50,3064,1239,1055,578,181,11,389283.6562,401346.3477
Oldham 033,E02001130,11.11111111,22.22222222,22.72727273,50,2587,1111,866,489,117,4,390655.9925,401048.7545
Oldham 034,E02001131,8.333333333,20.83333333,25,35,2305,1047,819,340,99,0,389498.1682,400537.2284
Oldham 035,,11.38211382,21.13821138,27.46478873,42.25352113,,,,,,,,
Rochdale 001,E02001132,10.25641026,23.07692308,17.77777778,33.33333333,3055,1473,1065,413,99,5,393625.8544,416777.2632
Rochdale 002,E02001133,10.20408163,26.53061224,15.55555556,33.33333333,2736,1497,866,317,55,1,392169.0751,416536.4543
Rochdale 003,E02001134,8.333333333,22.22222222,16.66666667,30.55555556,2652,1465,834,285,68,0,392856.6711,415280.4347
Rochdale 004,E02001135,12.82051282,24.35897436,28.08988764,43.82022472,3198,1042,1089,749,300,18,391251.3628,415257.8366
Rochdale 005,E02001136,9.803921569,21.56862745,27.27272727,42.42424242,3739,1756,1272,543,158,10,389340.3127,415040.1224
Rochdale 006,E02001137,6.451612903,19.35483871,22.22222222,44.44444444,2612,1547,765,245,55,0,387019.0662,414845.224
Rochdale 007,E02001138,8.888888889,17.77777778,15.68627451,27.45098039,3643,2048,1122,389,80,4,386595.2039,414125.6242
Rochdale 008,E02001139,12.12121212,21.21212121,25.74257426,40.59405941,3247,947,1213,750,315,22,390555.1198,414003.7355
Rochdale 009,E02001140,9.523809524,25.3968254,20.58823529,35.29411765,3048,1205,1069,561,201,12,388248.3319,413910.5393
Rochdale 010,E02001141,12.94117647,23.52941176,26.41509434,40.56603774,4583,1272,1670,1118,472,51,389217.1013,413381.2445
Rochdale 011,E02001142,13.04347826,21.73913043,22.22222222,38.88888889,2429,1289,830,272,36,2,387079.5111,412721.3744
Rochdale 012,E02001143,12.22222222,26.66666667,28.57142857,44.89795918,4047,1429,1398,873,322,25,390882.3114,412545.0436
Rochdale 013,E02001144,12.5,21.875,25.71428571,42.85714286,2860,1288,976,434,147,15,392322.4921,412702.8244
Rochdale 014,E02001145,8.823529412,35.29411765,19.56521739,34.7826087,3077,1542,1033,408,93,1,393289.0967,412450.5997
Rochdale 015,E02001146,12.32876712,21.91780822,25.27472527,40.65934066,3083,841,1156,802,265,19,389776.9588,412264.1649
Rochdale 016,E02001147,11.84210526,25,26.92307692,41.02564103,4138,1652,1452,745,267,22,390169.7778,410930.552
Rochdale 017,E02001148,12.67605634,25.35211268,23.45679012,39.50617284,4385,1803,1619,721,232,10,388181.556,410682.8124
Rochdale 018,E02001149,17.1875,32.8125,26.58227848,40.50632911,4815,1836,1667,943,349,20,385187.2345,410576.6077
Rochdale 019,E02001150,13.55932203,27.11864407,26.08695652,43.47826087,3697,1558,1227,661,236,15,384057.2678,410545.4901
Rochdale 020,E02001151,8.695652174,23.1884058,20.28985507,36.23188406,4188,2087,1375,572,146,8,386130.2572,409958.6193
Rochdale 021,E02001152,12.30769231,27.69230769,24.32432432,36.48648649,4130,1719,1393,777,227,14,387130.163,407142.951
Rochdale 022,E02001153,12.37113402,24.74226804,31.53153153,44.14414414,4937,1835,1619,1059,408,16,385839.4807,406833.6174
Rochdale 023,E02001154,10.71428571,23.21428571,25.33333333,38.66666667,4383,1876,1499,767,230,11,388210.5829,405962.754
Rochdale 024,E02001155,11.11111111,26.66666667,27.27272727,40.90909091,3447,1444,1145,635,214,9,386477.618,405799.386
Rochdale 025,E02001156,10.14492754,23.1884058,22.22222222,38.0952381,4099,2032,1374,582,107,4,387391.484,404666.9095
Salford 001,E02001157,11.68831169,28.57142857,27.47252747,43.95604396,3466,1171,1157,827,301,10,371927.7626,404382.6328
Salford 002,E02001158,14.89361702,29.78723404,29.09090909,47.27272727,2724,943,951,607,210,13,372756.2219,403868.045
Salford 003,E02001159,11.86440678,25.42372881,29.09090909,40,3258,1593,1003,477,175,10,374054.8466,403533.2717
Salford 004,E02001160,14.70588235,27.94117647,23.28767123,38.35616438,2864,1109,976,604,168,7,371897.126,403194.771
Salford 005,E02001161,12.12121212,27.27272727,30.55555556,44.44444444,2664,1167,930,434,125,8,377963.2334,402824.7334
Salford 006,E02001162,12.90322581,22.58064516,30,40,2690,1099,950,485,148,8,377391.5776,402519.7709
Salford 007,E02001163,6.779661017,18.6440678,19.35483871,33.87096774,4424,2301,1389,565,162,7,373889.0454,402498.9441
