MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Manchester 021,E02001065,12.34567901,25.92592593,31.70731707,47.56097561,2478,160,356,289,202,163,372,558,299,79,389351.081,396400.2563
Manchester 022,E02001066,12.5,21.875,31.14754098,44.26229508,2276,162,328,179,275,98,239,320,210,465,386096.1306,395662.8298
Manchester 023,E02001067,15.78947368,30.70175439,33.91304348,47.82608696,2816,168,357,292,338,151,518,559,350,83,388406.5765,395507.1893
Manchester 024,E02001068,12.74509804,21.56862745,27.64227642,40.6504065,2766,221,358,272,359,117,397,500,397,145,383870.4411,395394.7395
Manchester 025,E02001069,11.65048544,23.30097087,27.90697674,41.86046512,3032,254,462,296,304,144,300,420,387,465,384720.7124,395197.7467
Manchester 026,E02001070,14.58333333,25,25.45454545,41.81818182,2046,195,318,161,271,86,164,256,223,372,385888.8428,395023.2475
Manchester 027,,13.37579618,23.56687898,28.32369942,43.93063584,0,,,,,,,,,,,
Manchester 028,E02001072,7.547169811,16.98113208,23.07692308,38.46153846,2196,487,582,189,289,97,176,198,126,52,382730.801,394914.0338
Manchester 029,E02001073,3.846153846,11.53846154,15.38461538,28.84615385,2443,817,742,203,261,60,135,133,65,27,381576.7593,394341.9087
Manchester 030,E02001074,9.589041096,21.91780822,26.04166667,40.625,2766,403,529,259,405,142,287,386,281,74,383948.1875,394346.7842
Manchester 031,E02001075,12.12121212,27.27272727,26.38888889,38.88888889,2258,282,479,221,339,138,255,321,174,49,387566.6261,394127.5746
Manchester 032,E02001076,11.11111111,22.22222222,25.80645161,41.93548387,2098,196,305,132,181,49,126,144,104,861,385638.1313,394025.4864
Manchester 033,E02001077,4.761904762,16.66666667,20.93023256,34.88372093,1957,645,574,156,239,53,98,89,80,23,382166.9765,393660.6006
Manchester 034,E02001078,8.219178082,20.54794521,28.57142857,41.66666667,2605,439,590,277,468,110,210,272,158,81,386956.4026,393424.4257
Manchester 035,E02001079,12.24489796,20.40816327,31.50684932,47.94520548,2414,289,477,235,250,112,279,282,214,276,384338.6061,393430.7033
Manchester 036,E02001080,8.823529412,23.52941176,20,36.66666667,2317,270,388,166,165,69,163,182,114,800,385806.4462,393362.1726
Manchester 037,E02001081,4.761904762,21.42857143,15,27.5,1784,635,527,147,147,59,104,103,44,18,381521.1741,393318.8222
Manchester 038,E02001082,7.407407407,18.51851852,20,40,1778,518,493,159,141,43,101,105,77,141,384484.7201,392626.8246
Manchester 039,E02001083,6.25,18.75,21.42857143,32.14285714,2342,849,699,190,177,53,118,121,86,49,383750.6613,392334.615
Manchester 040,E02001084,8.695652174,17.39130435,20.93023256,34.88372093,2194,534,546,207,193,87,168,152,102,205,385323.3349,392396.63
Manchester 041,E02001085,11.53846154,20.51282051,30.23255814,45.34883721,2308,207,389,287,274,119,322,390,285,35,386368.0979,392247.7845
Manchester 042,E02001086,7.5,20,28.57142857,38.0952381,1822,482,472,187,166,69,162,149,104,31,382841.8192,391831.5655
Manchester 043,E02001087,5.454545455,12.72727273,13.15789474,23.68421053,2498,1050,751,160,233,49,91,72,50,42,384694.892,391245.3592
Manchester 044,E02001088,11.68831169,25.97402597,28.04878049,41.46341463,2438,259,475,349,250,158,352,394,174,27,381188.0257,390496.2231
Manchester 045,E02001089,6.12244898,14.28571429,13.95348837,30.23255814,2129,687,625,174,275,69,119,107,56,17,385268.9097,390322.1458
Manchester 046,E02001090,5.555555556,19.44444444,22.85714286,37.14285714,1806,439,476,202,188,102,128,166,81,24,382955.7692,389953.6702
Manchester 047,E02001091,6.896551724,18.96551724,26.92307692,42.30769231,2188,343,490,301,235,121,256,288,135,19,379878.054,389680.4814
Manchester 048,E02001092,13.04347826,28.98550725,29.33333333,44,2356,228,478,313,252,169,319,401,157,39,381304.001,388958.3503
Manchester 049,E02001093,10.86956522,28.26086957,28.40909091,43.18181818,2569,227,442,310,223,209,388,472,254,44,382984.929,388287.916
Manchester 050,E02001094,15.30612245,27.55102041,30.43478261,45.65217391,2644,159,359,297,207,193,419,617,339,54,382409.9427,387665.0199
Manchester 051,E02001095,12,29.33333333,28.35820896,41.79104478,2413,180,422,364,235,186,356,432,198,40,381251.5531,387389.517
Manchester 052,E02001096,13.7254902,27.45098039,24.56140351,38.59649123,2137,212,377,317,204,157,295,372,170,33,383489.9339,386784.1516
Manchester 053,E02001097,12.85714286,27.14285714,28.33333333,46.66666667,2329,143,347,307,229,189,337,499,242,36,382392.996,386302.128
Manchester 054,E02006902,17.64705882,23.52941176,23.07692308,38.46153846,2379,571,679,280,126,84,163,199,105,172,384532.4345,398914.2451
Manchester 055,E02006912,,,,,2719,849,844,223,113,73,97,110,37,373,384705.9834,398147.3324
Manchester 056,E02006913,15.55555556,28.88888889,32,48,2002,356,418,216,261,88,217,224,173,49,384435.0533,400505.6858
Manchester 057,E02006914,,21.42857143,,,1222,292,277,119,51,41,55,81,44,262,383953.3053,397185.1359
Manchester 058,E02006915,14.47368421,26.31578947,30.85106383,43.61702128,2124,189,339,184,331,106,281,353,288,53,383790.3319,400591.701
Manchester 059,E02006916,8.333333333,16.66666667,23.52941176,41.17647059,2203,498,634,246,130,78,177,179,109,152,382765.678,397166.4768
Manchester 060,E02006917,,,,,2021,689,623,173,95,52,72,68,30,219,383362.1668,397478.813
Oldham 001,E02001098,5.128205128,20.51282051,20,37.14285714,1438,180,319,177,181,112,158,237,64,10,392990.4291,409699.1891
Oldham 002,E02001099,10,30,24.24242424,36.36363636,1479,165,298,177,171,113,228,238,78,11,394099.3158,409572.631
Oldham 003,E02001100,10.25641026,23.07692308,25.80645161,35.48387097,1497,224,375,171,191,106,160,190,69,11,393928.1767,408932.0616
Oldham 004,E02001101,6.451612903,16.12903226,21.21212121,33.33333333,1414,220,385,188,170,89,135,163,58,6,391382.6076,408674.0729
Oldham 005,E02001102,10.52631579,21.05263158,20,35.55555556,1599,218,398,219,206,118,160,214,54,12,392887.3817,408034.8489
Oldham 006,E02001103,,16.66666667,,17.64705882,1360,390,384,116,215,61,77,80,29,8,399544.459,407871.9202
Oldham 007,E02001104,10.25641026,23.07692308,30.76923077,43.58974359,1975,263,432,232,256,159,244,269,102,18,395109.1396,407612.4757
Oldham 008,E02001105,6.896551724,13.79310345,23.33333333,36.66666667,1494,184,351,209,162,104,187,227,61,9,391420.5314,407332.4194
Oldham 009,E02001106,8.571428571,22.85714286,29.03225806,41.93548387,1478,166,332,179,163,117,181,243,84,13,392375.4183,407131.4317
Oldham 010,E02001107,7.142857143,19.04761905,23.40425532,44.68085106,1643,204,353,192,221,145,168,242,96,22,390626.1354,406283.3074
Oldham 011,E02001108,10.63829787,21.27659574,31.57894737,42.10526316,1610,78,207,175,147,132,294,386,163,28,393940.1016,406182.1696
