,MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,L1 L2 and L3,L4 L5 and L6,L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four
250,Tameside 003,E02001231,6.896551724,20.68965517,15.78947368,29.8245614,1898,14.805057955742887,23.498419388830346,12.32876712328767,12.434141201264488,7.32349841938883,10.642781875658589,13.856691253951528,4.373024236037935,0.7376185458377239,2862.0,48.18308874912648,32.11041229909154,14.849755415793151,4.472396925227113,0.38434661076170507
251,Tameside 004,E02001232,11.9047619,23.80952381,26.86567164,38.80597015,2291,9.646442601484068,17.023134002618946,11.261457878655609,11.261457878655609,7.72588389349629,13.00742034046268,19.729375818419904,9.253601047577478,1.0912265386294195,3612.0,39.479512735326686,34.91140642303433,18.632336655592468,6.450719822812847,0.5260243632336655
252,Tameside 005,E02001233,15.625,25.0,26.92307692,40.38461538,1964,8.961303462321792,18.89002036659878,12.627291242362526,12.525458248472503,7.942973523421588,13.391038696537677,18.78818737270876,6.109979633401222,0.7637474541751528,3375.0,36.2962962962963,35.318518518518516,21.6,6.2518518518518515,0.5333333333333333
253,Tameside 006,E02001234,8.888888889,20.0,25.0,43.75,2033,8.21446138711264,17.658632562715198,13.625184456468272,10.919822921790457,6.886374815543532,15.051647811116576,18.49483521888834,7.722577471716676,1.426463354648303,3261.0,37.074517019319224,34.437289175099664,20.91383011346213,7.022385771235817,0.5519779208831647
254,Tameside 007,E02001235,11.11111111,22.22222222,18.36734694,32.65306122,1909,11.524358302776323,21.05814562598219,11.838658983761132,13.56731272917758,7.595599790466212,12.414876898899948,16.500785751702463,5.133577789418544,0.3666841278156103,3058.0,46.17396991497711,32.406801831262264,16.05624591236102,4.87246566383257,0.49051667756703726
255,Tameside 008,E02001236,15.38461538,23.07692308,29.41176471,41.17647059,1604,8.229426433915211,15.211970074812967,11.408977556109726,11.097256857855362,6.608478802992519,16.33416458852868,20.199501246882793,8.915211970074813,1.99501246882793,2623.0,36.408692337018685,35.56995806328631,19.824628288219596,7.624857033930614,0.5718642775447961
256,Tameside 009,E02001237,8.571428571,22.85714286,18.36734694,28.57142857,1906,13.641133263378805,22.350472193074502,12.329485834207766,12.48688352570829,6.663168940188877,11.594963273871983,14.795383001049316,4.984260230849948,1.154249737670514,3089.0,47.426351570087405,31.14276464875364,15.603755260602137,5.535772094528974,0.29135642602784073
257,Tameside 010,E02001238,11.11111111,25.92592593,19.60784314,33.33333333,2050,13.073170731707318,21.414634146341463,13.51219512195122,11.51219512195122,8.73170731707317,13.073170731707318,13.80487804878049,4.2439024390243905,0.6341463414634146,3539.0,43.65640011302628,34.95337666007347,16.869172082509184,4.323255156823961,0.19779598756710934
258,Tameside 011,E02001239,10.52631579,26.31578947,25.0,40.0,2558,10.594214229867084,19.937451133698204,13.526192337763879,10.476935105551211,8.95230648944488,13.682564503518375,16.223612197028928,5.590304925723221,1.016419077404222,3990.0,41.8796992481203,34.48621553884712,18.195488721804512,5.087719298245614,0.3508771929824561
259,Tameside 012,E02001240,14.28571429,23.80952381,27.27272727,40.90909091,1725,10.72463768115942,19.942028985507246,14.028985507246377,11.18840579710145,7.768115942028986,12.985507246376812,17.333333333333336,5.449275362318841,0.5797101449275363,2631.0,43.17749904979095,34.96769289243634,17.939946788293422,3.686811098441657,0.22805017103762829
260,Tameside 013,E02001241,11.84210526,27.63157895,24.17582418,41.75824176,2509,5.300916699880431,12.275807094459944,9.964129135113591,15.344758868074932,7.652451175767237,14.986050219210842,21.681944998007175,10.840972499003588,1.9529693104822639,4716.0,29.98303647158609,34.79643765903308,23.812553011026296,10.559796437659033,0.8481764206955046
261,Tameside 014,E02001242,11.11111111,20.0,22.5,32.5,1863,16.639828234031132,25.979602791196992,13.365539452495975,13.687600644122384,7.3000536768652715,9.07139023081052,10.144927536231885,2.844873859366613,0.966183574879227,2886.0,53.707553707553714,31.219681219681224,12.785862785862786,2.2522522522522523,0.03465003465003465
262,Tameside 015,E02001243,7.142857143,17.85714286,15.90909091,29.54545455,2085,21.05515587529976,24.940047961630697,11.606714628297363,12.51798561151079,5.899280575539569,9.784172661870503,9.73621103117506,4.124700239808154,0.3357314148681055,3828.0,49.92163009404389,32.549634273772206,13.610240334378265,3.709508881922675,0.20898641588296762
263,Tameside 016,E02001244,9.375,21.875,16.66666667,30.55555556,1405,14.02135231316726,23.914590747330962,14.02135231316726,12.028469750889679,8.896797153024911,9.8932384341637,13.238434163701069,3.7010676156583626,0.2846975088967972,2303.0,49.848024316109424,36.12679114198871,11.376465479808944,2.5618758141554494,0.08684324793747286
264,Tameside 017,E02001245,11.11111111,24.07407407,26.31578947,38.59649123,2111,12.079583135954524,20.132638559924207,11.984841307437232,9.000473709142586,8.76361913784936,13.074372335386073,18.04831833254382,6.063477025106585,0.8526764566556134,3621.0,40.20988677161005,35.12841756420878,18.945042805854737,5.330019331676333,0.38663352665009665
265,Tameside 018,E02001246,13.63636364,29.54545455,21.81818182,34.54545455,1872,9.56196581196581,19.444444444444446,13.88888888888889,9.081196581196581,8.76068376068376,13.675213675213676,17.574786324786324,7.051282051282051,0.9615384615384616,3180.0,38.27044025157233,33.71069182389937,20.31446540880503,7.264150943396226,0.44025157232704404
266,Tameside 019,E02001247,14.28571429,26.53061224,27.45098039,39.21568627,1978,11.324570273003033,19.565217391304348,14.256825075834175,11.47623862487361,9.605662285136502,12.386248736097068,15.419615773508594,5.308392315470172,0.6572295247724975,3275.0,42.351145038167935,34.0763358778626,18.229007633587788,5.099236641221374,0.24427480916030536
267,Tameside 020,E02001248,11.11111111,22.22222222,21.11111111,35.55555556,3156,10.361216730038022,20.08871989860583,13.212927756653992,9.695817490494296,9.157160963244614,13.656527249683142,16.318124207858048,6.337135614702155,1.1723700887198987,5218.0,42.985818321195865,32.57953238788808,17.899578382522037,6.324262169413568,0.21080873898045227
268,Tameside 021,E02001249,11.36363636,31.81818182,22.5,40.0,1707,9.080257762155828,18.98066783831283,12.888107791446984,11.775043936731107,8.43585237258348,16.16871704745167,15.055653192735793,6.033977738722906,1.5817223198594026,2921.0,41.76651831564533,36.083533036631295,17.562478603218075,4.484765491270113,0.10270455323519344
269,Tameside 022,E02001250,,18.18181818,22.22222222,38.88888889,1726,16.396292004634994,24.913093858632678,14.13673232908459,13.035921205098495,8.16917728852839,8.92236384704519,10.89223638470452,3.1286210892236386,0.4055619930475087,2737.0,50.16441359152357,34.78260869565217,12.385823894775301,2.557544757033248,0.10960906101571063
270,Tameside 023,E02001251,12.5,29.16666667,16.66666667,36.66666667,1567,18.3152520740268,24.760689215060623,11.104020421186982,13.975749840459475,7.275047862156987,10.146777281429484,10.78493937460115,2.871729419272495,0.7657945118059988,2836.0,49.11847672778561,34.308885754583926,13.610719322990128,2.8561354019746124,0.10578279266572638
271,Tameside 024,E02001252,7.894736842,23.68421053,20.0,35.55555556,1911,16.588173731030874,24.803767660910516,14.861329147043435,11.826268969126112,8.424908424908425,9.157509157509157,11.041339612768185,2.7210884353741496,0.5756148613291471,3278.0,49.78645515558267,34.65527760829774,13.66687004270897,1.8303843807199511,0.06101281269066504
272,Tameside 025,E02001253,13.79310345,27.5862069,20.58823529,35.29411765,1307,11.476664116296863,21.423106350420813,14.537107880642694,9.869931140015302,8.722264728385616,12.930374904361134,15.990818668706963,4.437643458301454,0.612088752869166,2258.0,43.932683790965456,36.80248007085917,15.323294951284321,3.9415411868910537,0.0
273,Tameside 026,E02001254,12.90322581,22.58064516,22.85714286,37.14285714,1447,9.606081548030408,19.90324809951624,15.687629578438148,9.813407049067035,8.016586040082931,14.37456807187284,17.000691085003456,4.906703524533517,0.691085003455425,2491.0,41.549578482537136,37.213970293055,16.41910879164994,4.53633079084705,0.2810116419108792
274,Tameside 027,E02001255,11.9047619,26.19047619,23.72881356,44.06779661,2058,7.0456754130223525,16.42371234207969,13.79980563654033,9.329446064139942,7.6773566569484935,15.063168124392615,20.359572400388725,9.57240038872692,0.7288629737609329,3232.0,36.01485148514851,33.19925742574257,21.93688118811881,8.38490099009901,0.4641089108910891
275,Tameside 028,E02001256,11.86440678,22.03389831,25.92592593,40.74074074,2528,8.030063291139241,16.020569620253163,12.658227848101266,13.330696202531644,9.889240506329115,13.449367088607595,17.365506329113924,7.515822784810126,1.740506329113924,4172.0,35.282837967401726,35.57046979865772,20.80536912751678,7.9098753595397895,0.4314477468839885
276,Tameside 029,E02001257,14.03508772,26.31578947,26.31578947,40.35087719,2259,9.34041611332448,20.495794599380257,14.165559982293049,12.040725984949093,6.949977866312527,14.475431606905712,15.803452855245684,6.374501992031872,0.35413899955732625,4284.0,39.19234360410831,36.25116713352007,18.18394024276377,5.99906629318394,0.3734827264239029
277,Tameside 030,E02001258,,18.51851852,19.56521739,30.43478261,1898,18.75658587987355,27.92413066385669,13.013698630136986,11.907270811380402,7.218124341412013,8.166491043203372,9.747102212855637,2.897787144362487,0.36880927291886195,3232.0,52.84653465346535,32.7970297029703,11.695544554455447,2.599009900990099,0.06188118811881188
